id,name,X,Y
1,Airok,168.8216569268,7.2794503812
1,Airok,168.8316569268,7.2894503812
1,Airok,168.8116569268,7.2694503812
2,Bouj,168.7650692329,7.2825644528
2,Bouj,168.7750692329,7.2925644528
2,Bouj,168.7550692329,7.2725644528
3,Enewe,168.7025977302,7.3017467584
3,Enewe,168.7125977302,7.3117467584
3,Enewe,168.6925977302,7.2917467584
4,Ennak,168.847529701,7.5079364234
4,Ennak,168.857529701,7.5179364234
4,Ennak,168.837529701,7.4979364234
5,Jah,168.9391101861,7.4883240845
5,Jah,168.9491101861,7.4983240845
5,Jah,168.9291101861,7.4783240845
6,Jebwan,168.7976206346,7.2790116237
6,Jebwan,168.8076206346,7.2890116237
6,Jebwan,168.7876206346,7.2690116237
7,Jeh,168.9566061738,7.584813441
7,Jeh,168.9666061738,7.594813441
7,Jeh,168.9466061738,7.574813441
8,Kattiej,168.6967491649,7.4721464423
8,Kattiej,168.7067491649,7.4821464423
8,Kattiej,168.6867491649,7.4621464423
9,Mejil,168.9411224478,7.5283482041
9,Mejil,168.9511224478,7.5383482041
9,Mejil,168.9311224478,7.5183482041
10,Olar,168.7193305437,7.4755037354
10,Olar,168.7293305437,7.4855037354
10,Olar,168.7093305437,7.4655037354
11,Tobomaro,168.8779006927,7.3632455969
11,Tobomaro,168.8879006927,7.3732455969
11,Tobomaro,168.8679006927,7.3532455969
12,Woja,168.555601338,7.4167485881
12,Woja,168.565601338,7.4267485881
12,Woja,168.545601338,7.4067485881
13,Ailuk,169.9824917362,10.220671232
13,Ailuk,169.9924917362,10.230671232
13,Ailuk,169.9724917362,10.210671232
14,Enejelar,169.9598789019,10.4461577023
14,Enejelar,169.9698789019,10.4561577023
14,Enejelar,169.9498789019,10.4361577023
15,Enelik,169.9854980003,10.2261119228
15,Enelik,169.9954980003,10.2361119228
15,Enelik,169.9754980003,10.2161119228
16,Arno,171.5618668396,7.0617099176
16,Arno,171.5718668396,7.0717099176
16,Arno,171.5518668396,7.0517099176
17,Bekarej,171.6450785391,7.2478537219
17,Bekarej,171.6550785391,7.2578537219
17,Bekarej,171.6350785391,7.2378537219
18,Eneaidrik,171.5786958348,7.1324125031
18,Eneaidrik,171.5886958348,7.1424125031
18,Eneaidrik,171.5686958348,7.1224125031
19,Eneraan,171.8098209847,7.1565564371
19,Eneraan,171.8198209847,7.1665564371
19,Eneraan,171.7998209847,7.1465564371
20,Ijoen - Iloen,171.7752867663,7.0337042098
20,Ijoen - Iloen,171.7852867663,7.0437042098
20,Ijoen - Iloen,171.7652867663,7.0237042098
21,Ine,171.7134101114,6.9763544661
21,Ine,171.7234101114,6.9863544661
21,Ine,171.7034101114,6.9663544661
22,Japo,171.6842681681,6.9955151487
22,Japo,171.6942681681,7.0055151487
22,Japo,171.6742681681,6.9855151487
23,Jilan - Jilane,171.7002752436,7.0936111617
23,Jilan - Jilane,171.7102752436,7.1036111617
23,Jilan - Jilane,171.6902752436,7.0836111617
24,Kidenen,171.641629782,7.2122848523
24,Kidenen,171.651629782,7.2222848523
24,Kidenen,171.631629782,7.2022848523
25,Kilange,171.9042347928,7.1006656589
25,Kilange,171.9142347928,7.1106656589
25,Kilange,171.8942347928,7.0906656589
26,Kilemman,171.5652027069,7.1035284578
26,Kilemman,171.5752027069,7.1135284578
26,Kilemman,171.5552027069,7.0935284578
27,Kinajon,171.6440633196,7.0019261921
27,Kinajon,171.6540633196,7.0119261921
27,Kinajon,171.6340633196,6.9919261921
28,Langor,171.8520742777,7.157075802
28,Langor,171.8620742777,7.167075802
28,Langor,171.8420742777,7.147075802
29,Likwoj - Lukoj,171.587377375,7.0211882084
29,Likwoj - Lukoj,171.597377375,7.0311882084
29,Likwoj - Lukoj,171.577377375,7.0111882084
30,Malel,171.8545921834,7.0775518759
30,Malel,171.8645921834,7.0875518759
30,Malel,171.8445921834,7.0675518759
31,Matolen,171.753881701,6.9623191451
31,Matolen,171.763881701,6.9723191451
31,Matolen,171.743881701,6.9523191451
32,Meetdik,171.6575960093,7.2746776018
32,Meetdik,171.6675960093,7.2846776018
32,Meetdik,171.6475960093,7.2646776018
